5662.794069,0.000175,-0.000088,2047.069364
5663.178056,0.000638,-0.000506,921.978482
5669.584794,0.000203,0.000000,70790.527549
5669.637613,0.000310,-0.000099,6869.144875
5669.690520,0.000340,-0.000133,4062.132793
5669.743305,0.000438,-0.000242,4062.132793
5669.795986,0.000596,-0.000374,4062.132793
5669.849059,0.000555,-0.000367,4062.132793
5669.902687,0.000243,-0.000041,1175.491500
5669.955160,0.000505,-0.000308,1800.579784
5669.961535,0.000343,-0.000130,1800.579784
5670.174609,0.000122,0.000000,49163.775467
5670.226935,0.000097,0.000005,7026.026650
5670.278988,0.000101,0.000022,7026.026650
5670.330932,0.000084,0.000017,8028.054854
5670.382785,0.000085,0.000029,8028.054854
5670.435493,0.000104,0.000034,9572.567159
5670.487616,0.000105,0.000022,9572.567159
5670.539631,0.000106,0.000026,10408.956801
5670.543737,0.000117,0.000026,10408.956801
5670.945620,0.000282,-0.000074,4062.132793
5671.528819,0.000111,0.000052,10408.956801
5671.930449,0.000393,-0.000159,4062.132793
5672.514035,0.000180,-0.000023,10733.134205
5672.914798,0.000241,-0.000026,4062.132793
5673.498561,0.000227,-0.000054,10733.134205
5673.898917,0.000695,-0.000445,4062.132793
5674.483685,0.000378,-0.000140,10733.134205
5674.883105,0.000565,-0.000385,4062.132793
5675.469207,0.000160,-0.000190,10733.134205
5675.870072,0.000589,-0.000417,2759.052723
5676.457849,0.000095,-0.000159,10733.134205
5676.858843,0.000204,-0.000015,2759.052723
5677.442021,0.000127,-0.000103,10733.134205
5677.843102,0.002653,-0.002471,2759.052723
5678.430212,0.000104,-0.000093,10733.134205
5678.830215,0.000493,-0.000302,2712.859924
5679.418230,0.000101,-0.000066,10733.134205
5679.818295,0.000466,-0.000264,2523.564915
5680.406317,0.000133,-0.000065,10408.956801
5680.806471,0.000379,-0.000174,2805.245522
5681.390909,0.000168,-0.000051,10408.956801
5681.791280,0.000477,-0.000274,2527.702784
5682.378502,0.000179,-0.000047,10408.956801
5682.776327,0.000521,-0.000308,2619.743703
5683.366288,0.000102,-0.000062,10161.364954
5683.760559,0.000373,-0.000168,2871.231719
5684.354396,0.000109,-0.000045,9327.184824
5684.744742,0.000240,-0.000056,2350.982999
5685.342331,0.000124,-0.000049,9109.826832
5685.733109,0.002533,-0.002310,2261.553009
5686.326273,0.000112,-0.000028,6427.467078
5686.717367,0.000428,-0.000219,2337.377267
5687.314407,0.000136,-0.000035,5153.479775
5687.706062,0.000654,-0.000444,2133.093374
5688.301279,0.000200,-0.000031,3798.795651
5688.686714,0.000284,-0.000085,1692.059781
5689.286228,0.000150,-0.000058,3543.886362
5689.674610,0.000305,-0.000100,1762.191267
5690.270616,0.000141,-0.000064,3368.169305
5690.659479,0.000374,-0.000173,1532.538663
5691.646417,0.000410,-0.000227,1602.670149
5692.239163,0.000124,-0.000049,3368.169305
5692.634322,0.000431,-0.000255,1692.059781
5693.223663,0.000139,-0.000035,3377.708203
5693.622566,0.000324,-0.000113,1488.237210
5694.208692,0.000189,-0.000027,3377.708203
5694.610606,0.000309,-0.000100,1147.669946
5695.193597,0.000137,-0.000046,3017.860352
5695.598584,0.000328,-0.000125,1016.574226
5696.177806,0.000125,-0.000057,3178.816562
5696.586512,0.000365,-0.000172,1016.574226
5697.162223,0.000135,-0.000039,2631.094678
5697.571338,0.000473,-0.000273,1016.574226
5698.146835,0.000139,-0.000045,2684.921094
5698.558546,0.000352,-0.000156,776.281180
5699.131574,0.000183,-0.000034,2684.921094
5699.542600,0.000282,-0.000093,1016.574226
5700.115710,0.000110,-0.000055,2607.228112
5700.527356,0.000433,-0.000230,992.993701
5701.102542,0.000121,-0.000057,2444.360647
5701.512318,0.000453,-0.000250,799.861705
5702.090576,0.000115,-0.000048,1626.782850
