host_time,live_velocity,max_accel,cpu_load,ram_load,cpu_temp,cpu_freq
9329.454974,0.0,10000.0,0.0,27.8,50.004,1296.0
9329.682357,0.0,10000.0,6.5,27.8,49.035,1296.0
9329.946605,0.0,10000.0,22.3,35.0,48.066,1296.0
9330.201045,0.0,10000.0,35.4,45.3,49.156,1296.0
9330.452827,0.0,10000.0,32.0,56.5,49.156,1296.0
9330.703420,0.0,10000.0,33.7,66.9,49.882,1296.0
9330.953631,0.0,10000.0,34.7,80.1,50.004,1296.0
9331.192737,0.0,10000.0,10.4,76.8,50.367,1296.0
9331.442647,0.0,10000.0,2.0,76.8,48.793,1296.0
9331.693342,0.0,10000.0,3.0,76.8,47.945,1296.0
9331.943587,0.0,10000.0,3.0,76.8,48.187,1296.0
9332.194469,0.0,10000.0,4.0,76.6,47.582,1296.0
9332.445439,0.0,10000.0,4.0,76.6,47.339,1296.0
9332.695879,0.0,10000.0,2.0,76.6,46.855,1296.0
9332.946314,0.0,10000.0,3.9,76.6,46.855,1296.0
9333.197225,0.0,10000.0,3.0,76.5,47.46,1296.0
9333.448610,0.0,10000.0,2.0,76.5,47.703,1296.0
9333.699076,0.0,10000.0,2.0,76.5,46.371,1296.0
9333.949184,0.0,10000.0,2.0,76.5,46.613,1296.0
9334.199522,0.0,10000.0,5.0,76.4,46.613,1296.0
9334.449962,0.0,10000.0,3.0,76.4,46.855,1296.0
9334.700645,0.0,10000.0,3.0,76.4,46.734,1296.0
9334.950668,0.0,10000.0,1.0,76.4,46.976,1296.0
9335.200819,0.0,10000.0,5.0,76.4,46.492,1296.0
9335.452276,0.0,10000.0,3.0,76.4,46.371,1296.0
9335.702809,0.0,10000.0,2.0,76.4,45.886,1296.0
9335.953022,0.0,10000.0,2.0,76.4,45.644,1296.0
9336.203858,0.0,10000.0,4.0,76.3,47.097,1296.0
9336.455521,0.0,10000.0,2.0,76.3,46.371,1296.0
9336.706373,0.0,10000.0,2.0,76.3,46.855,1296.0
9336.956724,0.0,10000.0,3.0,76.3,46.007,1296.0
9337.207048,0.0,10000.0,3.1,76.3,45.644,1296.0
9337.457586,0.0,10000.0,2.0,76.3,46.976,1296.0
9337.708423,0.0,10000.0,3.0,76.3,45.644,1296.0
9337.958452,0.0,10000.0,3.0,76.3,45.886,1296.0
9338.209019,0.0,10000.0,4.0,76.2,46.371,1296.0
9338.459539,0.0,10000.0,2.0,76.2,46.734,1296.0
9338.710021,0.0,10000.0,4.0,76.2,46.128,1296.0
9338.960747,0.0,10000.0,1.0,76.2,45.644,1296.0
9339.212512,0.0,10000.0,7.1,76.4,46.492,1296.0
9339.462521,0.0,10000.0,2.0,76.4,46.371,1296.0
9339.713396,0.0,10000.0,3.0,76.4,45.886,1296.0
9339.963220,0.0,10000.0,1.0,76.4,46.128,1296.0
9340.213841,0.0,10000.0,4.0,76.4,45.765,1296.0
9340.464641,0.0,10000.0,2.0,76.4,46.492,1296.0
9340.714717,0.0,10000.0,3.0,76.4,46.128,1296.0
9340.965587,0.0,10000.0,3.0,76.4,45.16,1296.0
9341.215936,0.0,10000.0,3.0,76.3,45.886,1296.0
9341.469026,0.0,10000.0,3.0,76.3,45.523,1296.0
9341.717460,0.0,10000.0,3.0,76.3,45.886,1296.0
9341.968380,0.0,10000.0,2.0,76.3,46.249,1296.0
9342.218695,0.0,10000.0,3.1,76.2,45.644,1296.0
9342.469864,0.0,10000.0,3.0,76.2,45.765,1296.0
9342.720308,0.0,10000.0,2.0,76.2,44.675,1296.0
9342.971298,0.0,10000.0,2.0,76.2,45.281,1296.0
9343.221916,0.0,10000.0,4.0,76.2,45.644,1296.0
9343.473363,0.0,10000.0,2.0,76.2,45.281,1296.0
9343.724331,0.0,10000.0,4.0,76.2,45.402,1296.0
9343.974061,0.0,10000.0,2.0,76.2,45.523,1296.0
9344.224394,0.0,10000.0,4.0,76.1,45.765,1296.0
9344.475526,0.0,10000.0,1.0,76.1,45.16,1296.0
9344.725284,0.0,10000.0,4.0,76.1,45.402,1296.0
9344.976202,0.0,10000.0,2.0,76.1,45.038,1296.0
9345.226504,0.0,10000.0,4.0,76.1,45.765,1296.0
9345.477742,0.0,10000.0,3.0,76.1,44.917,1296.0
9345.728475,0.0,10000.0,4.0,76.1,45.16,1296.0
9345.979380,0.0,10000.0,2.0,76.1,44.433,1296.0
9346.229820,0.0,10000.0,4.0,76.1,44.554,1296.0
9346.480818,0.0,10000.0,2.0,76.1,45.038,1296.0
9346.731165,0.0,10000.0,2.0,76.1,45.281,1296.0
9346.981839,0.0,10000.0,3.0,76.1,44.675,1296.0
9347.232938,0.0,10000.0,2.0,76.1,45.038,1296.0
9347.483938,0.0,10000.0,3.0,76.1,45.402,1296.0
9347.734403,0.0,10000.0,2.0,76.1,45.281,1296.0
9347.985361,0.0,10000.0,3.9,76.1,45.402,1296.0
9348.235402,0.0,10000.0,3.0,76.1,44.312,1296.0
9348.486464,0.0,10000.0,2.0,76.1,44.796,1296.0
9348.737134,0.0,10000.0,4.0,76.1,44.312,1296.0
9348.987886,0.0,10000.0,2.0,76.1,44.796,1296.0
9349.239784,0.0,10000.0,7.0,76.1,44.917,1296.0
9349.489996,0.0,10000.0,2.0,76.1,45.16,1296.0
9349.740562,0.0,10000.0,3.0,76.1,44.675,1296.0
9349.991239,0.0,10000.0,2.0,76.1,44.796,1296.0
9350.242307,0.0,10000.0,3.0,76.1,44.433,
