5809.844109,0.000582,-0.000282,845.180906
5810.433433,0.000168,-0.000091,2024.965286
5817.426452,0.000395,0.000000,70791.122157
5817.479887,0.000655,-0.000250,9248.735068
5817.533319,0.000453,-0.000056,4229.486607
5817.586083,0.000574,-0.000178,4229.486607
5817.639212,0.000499,-0.000102,4199.934147
5817.692931,0.000670,-0.000210,4199.934147
5817.746652,0.000292,-0.000011,4199.934147
5817.799383,0.000424,-0.000145,3782.618262
5817.805893,0.000657,-0.000368,3782.618262
5818.019815,0.000110,0.000000,49163.723253
5818.072169,0.000146,-0.000014,13680.161858
5818.124432,0.000093,-0.000010,3171.885607
5818.176553,0.000100,0.000008,7560.625660
5818.229072,0.000108,0.000013,7560.625660
5818.281254,0.000119,0.000014,9186.396733
5818.333410,0.000089,0.000002,7560.625660
5818.385417,0.000102,0.000014,8188.848272
5818.389418,0.000103,-0.000001,7560.625660
5818.790433,0.000380,-0.000093,3144.957468
5819.374362,0.000114,0.000034,7560.625660
5819.774956,0.000633,-0.000302,3144.957468
5820.359233,0.000198,-0.000039,7560.625660
5820.760124,0.000575,-0.000282,3774.663947
5821.343941,0.000184,-0.000069,8188.848272
5821.744579,0.000359,-0.000075,3144.957468
5822.328359,0.000210,-0.000054,9186.396733
5822.729149,0.000528,-0.000246,3144.957468
5823.312970,0.000232,-0.000157,8188.848272
5823.714032,0.000610,-0.000313,3144.957468
5824.474659,0.000192,-0.000119,7560.625660
5825.502329,0.000215,-0.000130,7560.625660
5825.791541,0.000358,-0.000063,3774.663947
5826.486300,0.000134,-0.000121,7560.625660
5826.775801,0.000213,0.000004,2878.538121
5827.470735,0.000165,-0.000083,6482.236588
5827.760639,0.000292,-0.000083,2697.158426
5828.455408,0.000218,-0.000096,6482.236588
5828.745649,0.000284,-0.000077,2681.508327
5829.440101,0.000146,-0.000119,6469.418486
5829.730063,0.000560,-0.000369,2679.553637
5830.425281,0.000204,-0.000082,5755.639249
5830.714450,0.000435,-0.000206,2600.335977
5831.409984,0.000146,-0.000116,5180.958188
5831.698849,0.000677,-0.000335,2537.436690
5832.394359,0.000172,-0.000101,5034.222956
5832.683201,0.000548,-0.000347,1893.581896
5833.378490,0.000179,-0.000102,4424.964123
5833.667654,0.000308,-0.000081,1342.408243
5834.652484,0.000402,-0.000158,1342.408243
5835.347535,0.000165,-0.000096,4270.787206
5835.637197,0.000542,-0.000351,1342.408243
5836.331806,0.000131,-0.000114,4270.787206
5836.621804,0.000243,-0.000052,1342.408243
5837.316419,0.000209,-0.000061,4094.717326
5837.606394,0.000419,-0.000233,1354.750182
5838.301041,0.000165,-0.000088,3940.540409
